TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
37349,35201,2017,6,2,481,3,Couples,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,1,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",Douala,1,Cameroon,Beaches,2,3.0,2104,4.275665399239544
66409,69650,2013,6,2,748,1,Couples,4,15,109,3883.0,Bondi Beach,Australia,Australia,Australia & Oceania,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,1.0,5815,4.157523645743766
71068,52344,2017,1,2,748,4,Couples,2,8,51,1208.0,Huntington Beach,United States,Northern America,America,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.5,5815,4.157523645743766
73764,73312,2015,2,3,748,4,Family,2,8,51,1473.0,Minneapolis,United States,Northern America,America,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.5,5815,4.157523645743766
8109,53642,2017,2,5,640,5,Solo,5,21,162,7857.0,The Hague,Netherlands,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,5.0,13198,4.267085922109411
43944,64264,2015,5,2,650,1,Couples,4,15,109,4940.0,Perth,Australia,Australia,Australia & Oceania,1,13,Sanur Beach,Sanur,Douala,1,Cameroon,Beaches,1,1.0,3044,3.97634691195795
202372,42874,2017,3,5,1171,4,Solo,3,14,106,3551.0,Singapore,Singapore,South East Asia,Asia,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,2,3.5,2235,4.079194630872483
16575,82514,2013,9,4,640,5,Friends,2,8,51,1806.0,San Francisco,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,5.0,13198,4.267085922109411
202448,45383,2017,9,5,1171,5,Solo,3,14,101,3071.0,Denpasar,Indonesia,South East Asia,Asia,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,5,4.8,2235,4.079194630872483
101144,51776,2016,8,2,749,3,Couples,4,16,115,5621.0,Rotorua,New Zealand,Oceania,Australia & Oceania,1,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",Douala,1,Cameroon,Waterfalls,2,3.0,2190,3.895433789954338
